reference_name,meeting_id,start_segment,end_segment
20210323-SP01F,20210323,378,383
20210323-SP06M,20210323,378,383
20210323-SP03M,20210323,378,383
20210323-SP01F,20210323,1113,1118
20210323-SP03M,20210323,1113,1118
20210323-SP06M,20210323,1113,1118
20210323-SP06M,20210323,1074,1079
20210323-SP03M,20210323,1074,1079
20210323-SP01F,20210323,1074,1079
20210323-SP06M,20210323,1182,1187
20210323-SP01F,20210323,1182,1187
20210323-SP03M,20210323,1182,1187
20210323-SP03M,20210323,255,260
20210323-SP01F,20210323,255,260
20210323-SP06M,20210323,255,260
20210323-SP06M,20210323,273,278
20210323-SP03M,20210323,273,278
20210323-SP01F,20210323,273,278
20210323-SP01F,20210323,3,8
20210323-SP03M,20210323,3,8
20210323-SP06M,20210323,3,8
20210323-SP06M,20210323,249,254
20210323-SP03M,20210323,249,254
20210323-SP01F,20210323,249,254
20210323-SP03M,20210323,1107,1112
20210323-SP01F,20210323,1107,1112
20210323-SP06M,20210323,1107,1112
20210323-SP03M,20210323,1116,1121
20210323-SP06M,20210323,1116,1121
20210323-SP01F,20210323,1116,1121
20210323-SP06M,20210323,210,215
20210323-SP01F,20210323,210,215
20210323-SP03M,20210323,210,215
20210323-SP07F,20210323,966,971
20210323-SP03M,20210323,966,971
20210323-SP06M,20210323,966,971
20210323-SP06M,20210323,957,962
20210323-SP07F,20210323,957,962
20210323-SP03M,20210323,957,962
20210323-SP07F,20210323,849,854
20210323-SP06M,20210323,849,854
20210323-SP03M,20210323,849,854
20210323-SP06M,20210323,1248,1253
20210323-SP03M,20210323,1248,1253
20210323-SP07F,20210323,1248,1253
20210323-SP06M,20210323,948,953
20210323-SP03M,20210323,948,953
20210323-SP07F,20210323,948,953
20210323-SP06M,20210323,852,857
20210323-SP07F,20210323,852,857
20210323-SP03M,20210323,852,857
20210323-SP03M,20210323,846,851
20210323-SP06M,20210323,846,851
20210323-SP07F,20210323,846,851
20210323-SP03M,20210323,837,842
20210323-SP07F,20210323,837,842
20210323-SP06M,20210323,837,842
20210323-SP06M,20210323,732,737
20210323-SP07F,20210323,732,737
20210323-SP03M,20210323,732,737
20210323-SP03M,20210323,747,752
20210323-SP06M,20210323,747,752
20210323-SP07F,20210323,747,752
20210323-SP01F,20210323,72,77
20210323-SP06M,20210323,72,77
20210323-SP07F,20210323,72,77
20210323-SP06M,20210323,3,8
20210323-SP07F,20210323,3,8
20210323-SP01F,20210323,3,8
20210323-SP01F,20210323,417,422
20210323-SP03M,20210323,417,422
20210323-SP07F,20210323,417,422
20210323-SP03M,20210323,1128,1133
20210323-SP01F,20210323,1128,1133
20210323-SP07F,20210323,1128,1133
20210323-SP01F,20210323,621,626
20210323-SP03M,20210323,621,626
20210323-SP07F,20210323,621,626
20210323-SP07F,20210323,618,623
20210323-SP03M,20210323,618,623
20210323-SP01F,20210323,618,623
20210323-SP03M,20210323,984,989
20210323-SP07F,20210323,984,989
20210323-SP01F,20210323,984,989
20210323-SP07F,20210323,426,431
20210323-SP03M,20210323,426,431
20210323-SP01F,20210323,426,431
20210323-SP01F,20210323,1149,1154
20210323-SP03M,20210323,1149,1154
20210323-SP07F,20210323,1149,1154
20210323-SP01F,20210323,810,815
20210323-SP03M,20210323,810,815
20210323-SP07F,20210323,810,815
20210323-SP03M,20210323,1002,1007
20210323-SP01F,20210323,1002,1007
20210323-SP07F,20210323,1002,1007
20210323-SP01F,20210323,438,443
20210323-SP03M,20210323,438,443
20210323-SP07F,20210323,438,443
20210504-SP09M,20210504,243,248
20210504-SP04F,20210504,243,248
20210504-SP08M,20210504,243,248
20210504-SP09M,20210504,57,62
20210504-SP08M,20210504,57,62
20210504-SP04F,20210504,57,62
20210504-SP08M,20210504,411,416
20210504-SP04F,20210504,411,416
20210504-SP09M,20210504,411,416
20210504-SP08M,20210504,438,443
20210504-SP04F,20210504,438,443
20210504-SP09M,20210504,438,443
20210504-SP08M,20210504,681,686
20210504-SP09M,20210504,681,686
20210504-SP04F,20210504,681,686
20210504-SP09M,20210504,483,488
20210504-SP04F,20210504,483,488
20210504-SP08M,20210504,483,488
20210504-SP04F,20210504,657,662
20210504-SP09M,20210504,657,662
20210504-SP08M,20210504,657,662
20210504-SP08M,20210504,564,569
20210504-SP09M,20210504,564,569
20210504-SP04F,20210504,564,569
20210504-SP09M,20210504,222,227
20210504-SP08M,20210504,222,227
20210504-SP04F,20210504,222,227
20210504-SP08M,20210504,663,668
20210504-SP04F,20210504,663,668
20210504-SP09M,20210504,663,668
20210504-SP08M,20210504,375,380
20210504-SP09M,20210504,375,380
20210504-SP01F,20210504,375,380
20210504-SP08M,20210504,711,716
20210504-SP01F,20210504,711,716
20210504-SP09M,20210504,711,716
20210504-SP08M,20210504,708,713
20210504-SP01F,20210504,708,713
20210504-SP09M,20210504,708,713
20210504-SP08M,20210504,552,557
20210504-SP01F,20210504,552,557
20210504-SP09M,20210504,552,557
20210504-SP09M,20210504,555,560
20210504-SP08M,20210504,555,560
20210504-SP01F,20210504,555,560
20210504-SP01F,20210504,336,341
20210504-SP09M,20210504,336,341
20210504-SP08M,20210504,336,341
20210504-SP08M,20210504,291,296
20210504-SP01F,20210504,291,296
20210504-SP09M,20210504,291,296
20210504-SP08M,20210504,372,377
20210504-SP09M,20210504,372,377
20210504-SP01F,20210504,372,377
20210504-SP09M,20210504,96,101
20210504-SP01F,20210504,96,101
20210504-SP08M,20210504,96,101
20210504-SP09M,20210504,147,152
20210504-SP01F,20210504,147,152
20210504-SP08M,20210504,147,152
20210504-SP04F,20210504,339,344
20210504-SP09M,20210504,339,344
20210504-SP01F,20210504,339,344
20210504-SP01F,20210504,702,707
20210504-SP04F,20210504,702,707
20210504-SP09M,20210504,702,707
20210504-SP01F,20210504,462,467
20210504-SP09M,20210504,462,467
20210504-SP04F,20210504,462,467
20210504-SP01F,20210504,501,506
20210504-SP09M,20210504,501,506
20210504-SP04F,20210504,501,506
20210504-SP01F,20210504,576,581
20210504-SP04F,20210504,576,581
20210504-SP09M,20210504,576,581
20210504-SP04F,20210504,168,173
20210504-SP09M,20210504,168,173
20210504-SP01F,20210504,168,173
20210504-SP08M,20210504,522,527
20210504-SP04F,20210504,522,527
20210504-SP01F,20210504,522,527
20210504-SP04F,20210504,519,524
20210504-SP01F,20210504,519,524
20210504-SP08M,20210504,519,524
20210504-SP04F,20210504,276,281
20210504-SP08M,20210504,276,281
20210504-SP01F,20210504,276,281
20210504-SP01F,20210504,576,581
20210504-SP04F,20210504,576,581
20210504-SP08M,20210504,576,581
20210504-SP08M,20210504,282,287
20210504-SP01F,20210504,282,287
20210504-SP04F,20210504,282,287
20210504-SP04F,20210504,582,587
20210504-SP01F,20210504,582,587
20210504-SP08M,20210504,582,587
20210504-SP04F,20210504,642,647
20210504-SP08M,20210504,642,647
20210504-SP01F,20210504,642,647
20210504-SP04F,20210504,573,578
20210504-SP01F,20210504,573,578
20210504-SP08M,20210504,573,578
20210504-SP08M,20210504,408,413
20210504-SP01F,20210504,408,413
20210504-SP04F,20210504,408,413
20210504-SP08M,20210504,3,8
20210504-SP01F,20210504,3,8
20210504-SP04F,20210504,3,8
20210616-SP05F,20210616,2190,2195
20210616-SP06M,20210616,2190,2195
20210616-SP04F,20210616,2190,2195
20210616-SP04F,20210616,2925,2930
20210616-SP05F,20210616,2925,2930
20210616-SP02F,20210616,2925,2930
20210616-SP04F,20210616,762,767
